Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels
brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,1,,article,,brave.com,Top Sources; Brave
cnn.com,https://rss.cnn.com/rss/cnn_topstories.rss,CNN,Top News,Enabled,7.04,,article,,www.cnn.com,Top Sources; Top News
nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,Top News,Enabled,5.74,On,article,,www.nytimes.com,Top Sources; Top News
bbc.co.uk,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC,Top News,Enabled,3.22,,article,,www.bbc.co.uk,Top Sources; Top News
foxnews.com,https://feeds.foxnews.com/foxnews/latest,FOX News,Top News,Enabled,2.81,On,article,,www.foxnews.com,Top Sources; Top News
theguardian.com,https://www.theguardian.com/world/rss,The Guardian,Top News,Enabled,2.31,On,article,,www.theguardian.com,Top Sources; Top News
washingtonpost.com,https://www.washingtonpost.com/?outputType=rss,Washington Post,Top News,Enabled,2.3,,article,,www.washingtonpost.com,Top Sources; Top News
nbcnews.com,https://feeds.nbcnews.com/nbcnews/public/news,NBC News,Top News,Enabled,2.22,,article,,www.nbcnews.com,Top Sources; Top News
abcnews.com,https://abcnews.go.com/abcnews/topstories,ABC News,Top News,Enabled,1.49,On,article,,abcnews.go.com,Top Sources; Top News
dailymail.co.uk,https://www.dailymail.co.uk/home/index.rss,Daily Mail,Top News,Enabled,1.42,On,article,,www.dailymail.co.uk,Top Sources; Top News
nypost.com,https://nypost.com/news/feed/,New York Post,Top News,Enabled,1.39,On,article,,nypost.com,Top Sources; Top News
npr.org,https://feeds.npr.org/1001/rss.xml,NPR,Top News,Enabled,1.06,,article,,www.npr.org,Top Sources; Top News
wsj.com,https://feeds.a.dj.com/rss/RSSWorldNews.xml,WSJ,Top News,Enabled,0.38,,article,,www.wsj.com,Top Sources; Top News
latimes.com,https://www.latimes.com/local/rss2.0.xml,LA Times,Top News,Enabled,0.07,,article,,www.latimes.com,Top Sources; Top News
newsweek.com,https://www.newsweek.com/rss,Newsweek,Top News,Enabled,-0.04,,article,,www.newsweek.com,Top Sources; Top News
politico.com,https://rss.politico.com/politics-news.xml,Politico,Top News,Enabled,-0.05,,article,,www.politico.com,Top Sources; Top News; Politics
independent.co.uk,https://www.independent.co.uk/rss,The Independent,Top News,Enabled,-0.33,,article,,www.independent.co.uk,Top Sources; Top News
breitbart.com,https://feeds.feedburner.com/breitbart,Breitbart,Top News,Enabled,-0.45,,article,,www.breitbart.com,Top Sources; Top News; Politics
thehill.com,https://thehill.com/rss/syndicator/19110,The Hill,Top News,Enabled,-0.47,,article,,thehill.com,Top Sources; Top News; Politics
washingtontimes.com,https://www.washingtontimes.com/rss/headlines/news/,The Washington Times,Top News,Enabled,-0.77,,article,,www.washingtontimes.com,Top Sources; Top News; Politics
thedailybeast.com,https://feeds.feedburner.com/thedailybeast/articles,The Daily Beast,Top News,Enabled,-0.8,,article,,www.thedailybeast.com,Top Sources; Top News
telegraph.co.uk,https://www.telegraph.co.uk/news/rss.xml,The Telegraph,Top News,Enabled,-0.85,,article,,www.telegraph.co.uk,Top Sources; Top News
dailycaller.com,https://dailycaller.com/section/us/feed/,Daily Caller,Top News,Enabled,-0.89,,article,,dailycaller.com,Top Sources; Top News; Politics
theblaze.com,https://www.theblaze.com/feeds/news.rss,The Blaze,Top News,Enabled,-0.97,,article,,www.theblaze.com,Top Sources; Top News; Politics
cbc.ca,https://www.cbc.ca/cmlink/rss-topstories,CBC,Top News,Enabled,-1.06,,article,,www.cbc.ca,Top Sources; Top News
aljazeera.com,https://www.aljazeera.com/xml/rss/all.xml,Al Jazeera,Top News,Enabled,-1.07,,article,,www.aljazeera.com,Top Sources; Top News
smh.com.au,https://www.smh.com.au/rss/feed.xml,Sydney Morning Herald,Top News,Enabled,-1.1,,article,,www.smh.com.au,Top Sources; Top News
axios.com,https://api.axios.com/feed/,Axios,Top News,Enabled,-1.14,On,article,,www.axios.com,Top Sources; Top News
spiegel.de,https://www.spiegel.de/international/index.rss,Der Spiegel,Top News,Enabled,-1.19,,article,,www.spiegel.de,Top Sources; Top News
sky.com,https://feeds.skynews.com/feeds/rss/world.xml,Sky News,Top News,Enabled,-1.28,On,article,,news.sky.com,Top Sources; Top News
bostonglobe.com,https://www.bostonglobe.com/rss/feedly.xml,The Boston Globe,Top News,Enabled,-1.28,,article,,www.bostonglobe.com,Top Sources; Top News
