Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com/,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://www.cbc.ca/,https://rss.cbc.ca/lineup/topstories.xml,CBC,Top News,Enabled,,,article,,www.cbc.ca,Top Sources; Top News,1,https://www.cbc.ca/cmlink/rss-topstories
https://www.nytimes.com/,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,The New York Times World News,World News,Enabled,,,article,,www.nytimes.com,Top Sources; Top News; World News,2,
https://www.theguardian.com/,https://www.theguardian.com/international/rss,The Guardian World News,Top News,Enabled,,,article,,www.theguardian.com,Top Sources; Top News; World News,3,
https://www.ctvnews.ca/,https://www.ctvnews.ca/rss/ctvnews-ca-top-stories-public-rss-1.822009,CTV News,,Enabled,,,article,,bc.ctvnews.ca;www.ctvnews.ca;toronto.ctvnews.ca,Top Sources; Top News,4,
https://www.bbc.com/,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC World News,,Enabled,,,article,,www.bbc.co.uk,Top Sources; Top News; World News,5,
https://www.healthline.com/,https://www.healthline.com/rss/health-news,Healthline,Health,Enabled,,,article,,healthline.com,Top Sources; Health,6,https://www.healthline.com/rss/health-news
http://globalnews.ca/,https://globalnews.ca/feed/,Global News,,Enabled,,,article,,globalnews.ca,Top Sources; Top News,7,
https://www.cnn.com/,http://rss.cnn.com/rss/edition_world.rss,CNN World News,Top News,Enabled,,,article,,www.cnn.com,Top Sources; Top News; World News,8,
https://www.webmd.com/,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD Health,Health,Enabled,,,article,,www.webmd.com,Top Sources; Health,9,
https://www.forbes.com/,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,,,article,,www.forbes.com,Top Sources; Business,10,
https://www.espn.com/,https://www.espn.com/espn/rss/news,ESPN,Sports,Enabled,,,article,,www.espn.com,Top Sources; Sports,11,
https://www.gamespot.com/,https://www.gamespot.com/feeds/news,Gamespot,,Enabled,,,article,,www.gamespot.com,Top Sources; Entertainment; Gaming,12,
https://www.lapresse.ca/,https://www.lapresse.ca/actualites/rss,LaPresse,,Enabled,,,article,,www.lapresse.ca,Top Sources; Top News,13,
https://www.cnbc.com/,https://www.cnbc.com/id/100003114/device/rss/rss.html,CNBC,Business,Enabled,,,article,,www.cnbc.com,Top Sources; Top News,14,https://www.cnbc.com/id/100003114/device/rss/rss.html
https://www.mayoclinic.org/,https://www.mayoclinic.com/rss/MayoFull.xml,Mayo Clinic,Health,Enabled,,,article,,www.mayoclinic.org,Top Sources; Health,15,https://www.mayoclinic.org/rss/all-health-information-topics
https://www.ign.com/,https://feeds.ign.com/ign/reviews,IGN Reviews,Entertainment,Enabled,,,article,,www.ign.com,Top Sources; Gaming,16,https://feeds.ign.com/ign/reviews
https://www.dailymail.co.uk,https://www.dailymail.co.uk/news/worldnews/index.rss,Daily Mail World News,Top News,Enabled,,,article,,www.dailymail.co.uk,Top Sources; Top News; World News,17,
https://ici.radio-canada.ca/,https://www.rcinet.ca/en/feed/,Radio-Canada,,Enabled,,,article,,radio-canada.ca,Top Sources; Top News,18,
https://www.cnet.com/,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,,,article,,www.cnet.com,Top Sources; Technology,19,
https://www.washingtonpost.com/,https://feeds.washingtonpost.com/rss/world,Washington Post World News,Top News,Enabled,,,article,,www.washingtonpost.com,Top Sources; Top News; World News,20,
https://screenrant.com/,https://www.screenrant.com/feed/,Screenrant,,Enabled,,,article,,screenrant.com,Top Sources; Entertainment,21,
https://www.businessinsider.com/,https://feeds.businessinsider.com/custom/all,Business Insider,Business,Enabled,,,article,,www.businessinsider.com;markets.businessinsider.com;www.insiderintelligence.com,Top Sources; Business,22,
https://people.com/,https://www.people.com/feeds/google-news,People,,Enabled,,,article,,people.com,Top Sources; Entertainment,23,
https://www.wikihow.com/Main-Page,https://www.wikihow.com/feed.rss,Wikihow,Culture,Enabled,,,article,,www.wikihow.com;www.wikihow.life,Top Sources; Culture,24,
