Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com/,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://www.bbc.co.uk/,https://feeds.bbci.co.uk/news/rss.xml?edition=uk,BBC,Top News,,,,article,,www.bbc.co.uk,Top Sources; Top News,1,
https://www.theguardian.com/,https://www.theguardian.com/uk/rss,The Guardian,Top News,,,,article,,www.theguardian.com,Top Sources; Top News,2,
https://www.dailymail.co.uk/home/index.html,https://www.dailymail.co.uk/news/index.rss,Daily Mail,Top News,,,,article,,www.dailymail.co.uk,Top Sources; Top News,3,https://www.dailymail.co.uk/home/index.rss
https://www.independent.co.uk/,https://www.independent.co.uk/rss,The Independent,Top News,,,,article,,www.independent.co.uk,Top Sources; Top News,4,https://www.independent.co.uk/rss
https://www.healthline.com/,https://www.healthline.com/rss/health-news,Healthline,Health,,,,article,,https://www.healthline.com/,Top Sources; Health,5,
https://www.telegraph.co.uk/,https://www.telegraph.co.uk/rss,The Telegraph,Top News,,,,article,,www.telegraph.co.uk,Top Sources; Top News,6,https://www.telegraph.co.uk/news/rss.xml
https://www.nytimes.com/,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,The New York Times World News,World News,,,,article,,www.nytimes.com,Top Sources; World News,7,
https://www.sky.com/,https://feeds.skynews.com/feeds/rss/home.xml,Sky News,Top News,,,,article,,news.sky.com,Top Sources; Top News,8,http://feeds.skynews.com/feeds/rss/world.xml
https://www.thesun.co.uk/,https://www.thesun.co.uk/feed/,The Sun,,,,,article,,www.thesun.co.uk,Top Sources; Top News,9,
https://www.mirror.co.uk/,https://www.mirror.co.uk/rss.xml,The Mirror,,,,,article,,https://www.mirror.co.uk/,Top Sources; Top News,10,
https://www.express.co.uk/,https://feeds.feedburner.com/daily-express-uk-news,Daily Express,,,,,article,,www.express.co.uk,Top Sources; Top News,11,
https://www.webmd.com/,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD Health,Health,,,,article,,www.webmd.com,Top Sources; Health,12,http://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC
https://www.techradar.com/,https://www.techradar.com/rss,TechRadar,Technology,,,,article,,www.techradar.com,Top Sources; Technology,13,http://www.techradar.com/rss
https://www.forbes.com/,https://www.forbes.com/real-time/feed/,Forbes,Business,,,,article,,www.forbes.com,Top Sources; Business,14,
https://www.gamespot.com/,https://www.gamespot.com/feeds/news,Gamespot,,,,,article,,www.gamespot.com,Top Sources; Gaming,15,
https://www.investopedia.com/,https://www.investopedia.com/feeds/google-news,Investopedia,,,,,article,,www.investopedia.com,Top Sources; Business,16,
https://www.ign.com/,http://feeds.ign.com/ign/reviews,IGN Reviews,Entertainment,,,,article,,www.ign.com,Top Sources; Entertainment,17,http://feeds.ign.com/ign/reviews
https://www.bbcgoodfood.com/,https://www.bbcgoodfood.com/feed/atom/,BBC Good Food,,,,,article,,www.bbcgoodfood.com,Top Sources; Food,18,
https://www.pcmag.com/,https://uk.pcmag.com/feed.xml,PCMag UK,,,,,article,,uk.pcmag.com,Top Sources; Technology,19,
https://www.which.co.uk/,https://www.which.co.uk/news/feed/,Which?,,,,,article,,www.which.co.uk,Top Sources; Home,20,
https://metro.co.uk/,https://metro.co.uk/feed/,Metro,,,,,article,,metro.co.uk,Top Sources; Top News,21,
https://www.standard.co.uk/,https://www.standard.co.uk/rss,Evening Standard,,,,,article,,www.standard.co.uk,Top Sources; Top News,22,
https://screenrant.com/,https://www.screenrant.com/feed/,Screenrant,,,,,article,,screenrant.com,Top Sources; Entertainment,23,
https://www.mayoclinic.org/,https://www.mayoclinic.org/rss/all-health-information-topics,Mayo Clinic,Health,,,,article,,www.mayoclinic.org,Top Sources; Health,24,http://www.mayoclinic.com/rss/MayoFull.xml
https://www.skysports.com/,https://www.skysports.com/rss/11095,SkySports,Sports,,,,article,,www.skysports.com,Top Sources; Sports,25,https://www.skysports.com/rss/11095
https://inews.co.uk/,https://www.inews.co.uk/feed,iNews,,,,,article,,inews.co.uk,Top Sources; Top News,26,
https://www.businessinsider.com/,https://feeds.businessinsider.com/custom/all,Business Insider,Business,,,,article,,markets.businessinsider.com;www.businessinsider.com,Top Sources; Business,27,http://feeds2.feedburner.com/businessinsider
