Domain,Title,Feed,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com/,Brave Blog,https://brave.com/blog/index.xml,Brave,Enabled,,,article,,brave.com,Brave,,
https://www.nytimes.com/,The New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,Top News,Enabled,,On,article,,www.nytimes.com,Top Sources; Top News,1,
https://www.cnn.com/,CNN,http://rss.cnn.com/rss/cnn_topstories.rss,Top News,Enabled,,,article,,www.cnn.com,Top Sources; Top News,2,https://rss.cnn.com/rss/cnn_topstories.rss
https://www.foxnews.com/,FOX News,https://feeds.foxnews.com/foxnews/latest,Top News,Enabled,,On,article,,www.foxnews.com,Top Sources; Top News,3,
https://www.washingtonpost.com/,Washington Post,https://feeds.washingtonpost.com/rss/national,Top News,Enabled,,,article,,www.washingtonpost.com,Top Sources; Top News,4,https://www.washingtonpost.com/?outputType=rss
https://www.theguardian.com/,The Guardian World News,https://www.theguardian.com/international/rss,World News,Enabled,,On,article,,www.theguardian.com,Top Sources; Top News; World News,5,https://www.theguardian.com/world/rss
https://www.webmd.com/,WebMD Health,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,Health,Enabled,,,article,,www.webmd.com,Top Sources; Health,6,
https://www.espn.com/,ESPN,https://www.espn.com/espn/rss/news,Sports,Enabled,,,article,,www.espn.com,Top Sources; Sports,7,
https://www.forbes.com/,Forbes,https://www.forbes.com/real-time/feed/,Business,Enabled,,,article,,www.forbes.com,Top Sources; Business,8,
https://www.healthline.com/,Healthline,https://www.healthline.com/rss/health-news,Health,Enabled,,,article,,www.healthline.com,Top Sources; Health,9,
https://www.investopedia.com/,Investopedia,https://www.investopedia.com/feeds/google-news,Business,Enabled,,,article,,www.investopedia.com,Top Sources; Business,10,
https://www.usnews.com/,U.S. News & World Report,https://www.usnews.com/rss/news,Top News,Enabled,,,article,,www.usnews.com,Top Sources; Top News,11,
https://www.cnbc.com/,CNBC US News,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100003114,Business,Enabled,,,article,,www.cnbc.com,Top Sources; Top News,12,https://www.cnbc.com/id/100003114/device/rss/rss.html
https://nypost.com/,New York Post,https://nypost.com/news/feed,Top News,Enabled,,On,article,,nypost.com,Top Sources; Top News,13,
https://www.cnet.com/,CNET News,https://www.cnet.com/rss/news/,Technology,Enabled,,On,article,,www.cnet.com,Top Sources; Technology,14,
https://www.dailymail.co.uk,Daily Mail World News,https://www.dailymail.co.uk/news/worldnews/index.rss,World News,Enabled,,On,article,,www.dailymail.co.uk,Top Sources; Top News; World News,15,
https://www.bbc.com/,BBC World News,https://feeds.bbci.co.uk/news/rss.xml?edition=int,World News,Enabled,,,article,,www.bbc.co.uk,Top Sources; Top News; World News,16,
https://www.businessinsider.com/,Business Insider,https://feeds.businessinsider.com/custom/all,Business,Enabled,,,article,,markets.businessinsider.com;www.businessinsider.com,Top Sources; Business,17,https://feeds2.feedburner.com/businessinsider
https://www.gamespot.com/,Gamespot,https://www.gamespot.com/feeds/news,Gaming,Enabled,,,article,,www.gamespot.com,Top Sources; Entertainment; Gaming,18,
https://www.mayoclinic.org/,Mayo Clinic,https://www.mayoclinic.org/rss/all-health-information-topics,Health,Enabled,,,article,,www.mayoclinic.org,Top Sources; Health,19,
https://www.ign.com/,IGN Reviews,http://feeds.ign.com/ign/reviews,Entertainment,Enabled,,,article,,www.ign.com,Top Sources; Entertainment,20,
https://screenrant.com/,Screenrant,https://screenrant.com/feed/,Entertainment,Enabled,,,article,,screenrant.com,Top Sources; Entertainment,21,
https://www.usatoday.com/,USA Today,https://rssfeeds.usatoday.com/usatoday-newstopstories&x=1,Top News,Enabled,,,article,,usatoday.com,Top Sources; Top News,22,
https://www.cbssports.com/,CBSSports,https://www.cbssports.com/rss/headlines/,Sports,Enabled,,,article,,www.cbssports.com,Top Sources; Sports,23,
https://gamerant.com/,Gamerant,https://www.gamerant.com/feed/,Gaming,Enabled,,,article,,gamerant.com,Top Sources; Gaming,24,
https://www.wsj.com/,WSJ Markets,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,Business,Enabled,,,article,,www.wsj.com,Top Sources; Top News; Business,25,
https://people.com/,People,https://www.people.com/feeds/google-news,Entertainment,Enabled,,,article,,people.com,Top Sources; Entertainment,26,
https://www.npr.org/,NPR,https://feeds.npr.org/1001/rss.xml,Top News,Enabled,,,article,,www.npr.org,Top Sources; Top News,27,
https://www.pcgamer.com/,PC Gamer,https://www.pcgamer.com/rss,Gaming,Enabled,,,article,,www.pcgamer.com,Top Sources; Gaming,28,
https://www.nbcnews.com/,NBC News,https://feeds.nbcnews.com/nbcnews/public/news,Top News,Enabled,,,article,,www.nbcnews.com,Top Sources; Top News,29,
https://www.marketwatch.com/,MarketWatch,https://www.marketwatch.com/rss/topstories,Business,Enabled,,,article,,www.marketwatch.com,Business,30,
https://www.techradar.com/,TechRadar,https://www.techradar.com/rss,Technology,Enabled,,,article,,www.techradar.com,Top Sources; Technology,31,
https://www.thegamer.com/,The Gamer,https://www.thegamer.com/feed,Gaming,Enabled,,,article,,www.thegamer.com,Top Sources; Gaming,32,
https://www.wikihow.com/,Wikihow,https://www.wikihow.com/feed.rss,Culture,Enabled,,On,article,,www.wikihow.com,Top Sources; Culture,33,
https://www.tomsguide.com/,Tom's Guide,https://www.tomsguide.com/feeds/all,Technology,Enabled,,,article,,www.tomsguide.com,Top Sources; Technology,34,
https://www.theverge.com/,The Verge,https://www.theverge.com/rss/index.xml,Technology,Enabled,,,article,,www.theverge.com,Top Sources; Technology,35,https://www.theverge.com/rss/full.xml
