Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains
cnnespanol.cnn.com,https://cnnespanol.cnn.com/feed/,CNN Español,Top News,Enabled,3.31,,article,,cnnespanol.cnn.com
bbc.co.uk/spanish/,https://feeds.bbci.co.uk/mundo/rss.xml,BBC Mundo,Top News,Enabled,2.45,,article,,www.bbc.com
elmundo.es,https://e00-elmundo.uecdn.es/rss/portada.xml,El Mundo,Top News,Enabled,1.93,,article,,www.elmundo.es
nytimes.com/es/,https://rss.nytimes.com/services/xml/rss/nyt/es.xml,The New York Times en Español,Top News,Enabled,1.82,,article,,www.nytimes.com
elpais.com,https://ep01.epimg.net/rss/tags/ultimas_noticias.xml,EL PAÍS,Top News,Enabled,1.53,,article,,elviajero.elpais.com
20minutos.es,https://www.20minutos.es/rss/,20 Minutos,Top News,Enabled,1.45,,article,,www.20minutos.es
meneame.net,https://www.meneame.net/rss2.php,Menéame,Top News,Enabled,0.93,,article,,www.meneame.net
eldiario.es,https://www.eldiario.es/rss/,El Diario,Top News,Enabled,0.86,,article,,www.eldiario.es
actualidad.rt.com,https://actualidad.rt.com/feeds/all.rss,RT en Español,Top News,Enabled,0.69,,article,,actualidad.rt.com
expansion.com,https://e00-expansion.uecdn.es/rss/portada.xml,Expansion,Top News,Enabled,0.62,,article,,expansion.com
expansion.com,https://e00-expansion.uecdn.es/rss/portada.xml,Expansion,Top News,Enabled,0.62,,article,,www.expansion.com
publico.es,https://www.publico.es/estaticos/rss,Público,Top News,Enabled,0.27,,article,,publico.es
abc.es,https://www.abc.es/rss/feeds/abc_ultima.xml,ABC,Top News,Enabled,0.24,,article,,www.abc.es
lanacion.com.ar,https://www.lanacion.com.ar/arcio/rss/,La Nacion,Top News,Enabled,0.15,,article,,www.lanacion.com.ar
dw.com/spanish/,https://rss.dw.com/syndication/feeds/RSS_sp_Feedly_News.10727-mrss.xml,DW Español,Top News,Enabled,0.04,,article,,www.dw.com
huffingtonpost.es,https://chaski.huffpost.com/us/auto/topic/spain,El HuffPost,Top News,Enabled,0.04,,article,,huffingtonpost.es
aristeguinoticias.com,https://feeds.feedburner.com/AristeguiNoticias,Aristegui Noticias,Top News,Enabled,0,,article,,aristeguinoticias.com
lavanguardia.com,https://www.lavanguardia.com/rss/home.xml,La Vanguardia,Top News,Enabled,-0.03,,article,,lavanguardia.com
infobae.com,https://www.infobae.com/argentina-rss.xml,Infobae,Top News,Enabled,-0.05,,article,,www.infobae.com
reforma.com,https://www.reforma.com/rss/portada.xml,Reforma,Top News,Enabled,-0.07,,article,,www.reforma.com
elconfidencialdigital.com,https://www.elconfidencialdigital.com/rss?seccion=el_confidencial_digital,Confidencial Digital,Top News,Enabled,-0.08,,article,,www.elconfidencialdigital.com
