Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank
elpais.com,http://www.elpais.com/rss/feed.html?feedId=17046,EL PAÍS,Top News,Enabled,,,article,,elpais.com,Top Sources;Top News,1
as.com,https://as.com/rss/diarioas/portada.xml,Diario AS,Sports,Enabled,,,article,,as.com,Top Sources;Sports,2
xataka.com,http://feeds.weblogssl.com/xataka2,Xataka,Technology,Enabled,,,article,,www.xataka.com,Top Sources;Technology,3
elmundo.es,http://rss.elmundo.es/rss/descarga.htm?data2=9,El Mundo,Top News,Enabled,,,article,,www.elmundo.es,Top Sources;Top News,4
elespanol.com,http://www.elespanol.com/rss/,El Español,Top News,Enabled,,,article,,www.elespanol.com,Top Sources;Top News,5
lavanguardia.com,https://www.lavanguardia.com/rss/home.xml,La Vanguardia,Top News,Enabled,,,article,,www.lavanguardia.com,Top Sources;Top News,6
elconfidencial.com,http://rss.elconfidencial.com/,El Confidencial,Top News,Enabled,,,article,,www.elconfidencial.com;www.alimente.elconfidencial.com,Top Sources;Top News,7
20minutos.es,http://www.20minutos.es/rss/,20 Minutos,Top News,Enabled,,,article,,www.20minutos.es,Top Sources;Top News,8
eleconomista.es,http://www.eleconomista.es/rss/rss-flash-del-mercado.php,el Economista,Business,Enabled,,,article,,eleconomista.es,Top Sources;Business,9
abc.es,http://www.abc.es/rss/feeds/abc_ultima.xml,ABC,Top News,Enabled,,,article,,www.abc.es,Top Sources;Top News,10
marca.com,https://www.marca.com/rss/googlenews/portada.xml,Marca,Sports,Enabled,,,article,,www.marca.com,Top Sources;Sports,11
adslzone.net,http://feeds.feedburner.com/adslzone,ADSLZone,Technology,Enabled,,,article,,www.adslzone.net,Top Sources;Technology,12
rtve.es,http://www.rtve.es/rss/temas_noticias.xml,RTVE,Top News,Enabled,,,article,,www.rtve.es,Top Sources;Top News,13
mundodeportivo.com,http://www.elmundodeportivo.es/web/rss/titulares.rss,Portada,Sports,Enabled,,,article,,mundodeportivo.com,Top Sources;Sports,14
elperiodico.com,http://www.elperiodico.com/es/rss/rss_portada.xml,El Periódico,Top News,Enabled,,,article,,www.elperiodico.com,Top Sources;Top News,15
sport.es,http://www.sport.es/es/rss/last_news/rss.xml,Últimas Noticias,Sports,Enabled,,,article,,sport.es,Top Sources;Sports,16
expansion.com,http://app2.expansion.com/servicios/rss/ultimasNoticias.rss,Expansion,Top News,Enabled,,,article,,expansion.com,Top Sources;Top News,17
eldiario.es,http://www.eldiario.es/rss/,El Diario,Top News,Enabled,,,article,,www.eldiario.es,Top Sources;Top News,18
aemet.es,https://www.aemet.es/es/rss/es/noticias.rss,Aemet,Weather,Enabled,,,article,,www.aemet.es,Top Sources;Weather,19
europapress.es,http://www.europapress.es/rss/rss.aspx?ch=94,Europa Press,Top News,Enabled,,,article,,www.europapress.es,Top Sources;Top News,20
xatakandroid.com,http://www.xatakandroid.com/index.xml,Xataka Android,Technology,Disabled,,,article,,www.xatakandroid.com,Technology,21
espinof.com,http://feeds.weblogssl.com/espinof,Espinof,Entertainment,Disabled,,,article,,www.espinof.com,Entertainment,22
