Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com/,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://elpais.com/,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/america/portada,EL PAÍS Edición América,Top News,Enabled,,,article,,elpais.com,Top Sources;Top News,1,
https://www.xataka.com/,https://feeds.weblogssl.com/xataka2,Xataka,Technology,Enabled,,,article,,www.xataka.com,Top Sources;Technology,2,
https://as.com/,https://as.com/rss/diarioas/portada.xml,Diario AS,Sports,Enabled,,,article,,as.com;elpais.com,Top Sources;Sports,3,
https://www.elfinanciero.com.mx/,https://www.elfinanciero.com.mx/rss/,El Financiero,Business,Enabled,,,article,,www.elfinanciero.com.mx,Top Sources;Business,4,
https://www.marca.com/,https://www.marca.com/rss/googlenews/portada.xml,Marca,Sports,Enabled,,,article,,www.marca.com,Top Sources;Sports,5,
https://definicion.de/,https://definicion.de/feed/,Definicion,Top News,Enabled,,,article,,definicion.de,Top Sources;Top News,6,
https://www.elmundo.es/,https://rss.elmundo.es/rss/descarga.htm?data2=9,El Mundo,Top News,Enabled,,,article,,www.elmundo.es,Top Sources;Top News,7,
https://www.milenio.com/,https://www.milenio.com/rss,Milenio,Top News,Enabled,,,article,,www.milenio.com,Top Sources;Top News,8,
https://expansion.mx/,https://www.expansion.mx/rss,Expansión,Top News,Enabled,,,article,,expansion.mx,Top Sources;Top News,9,
https://www.xatakandroid.com/,https://www.xatakandroid.com/index.xml,Xataka Android,Technology,Enabled,,,article,,www.xatakandroid.com,Top Sources;Technology,10,
https://www.eluniversal.com.mx/,https://www.eluniversal.com.mx/rss.xml,EL UNIVERSAL,Top News,Disabled,,,article,,www.eluniversal.com.mx,Top News,11,
https://www.redalyc.org/,https://xmljatsredalyc.org/feed/,Redalyc,Science,Disabled,,,article,,xmljatsredalyc.org,Science,12,
https://www.abc.es/,https://www.abc.es/rss/feeds/abc_ultima.xml,ABC,Top News,Disabled,,,article,,www.abc.es,Top News,13,
https://www.elespanol.com/,https://www.elespanol.com/rss/,El Español,Top News,Disabled,,,article,,www.elespanol.com,Top News,14,
https://www.infobae.com/america/mexico/,https://www.infobae.com/feeds/rss/,Infobae,Top News,Disabled,,,article,,www.infobae.com,Top News,15,
https://www.20minutos.es/,https://www.20minutos.es/rss/,20 Minutos,Top News,Disabled,,,article,,www.20minutos.es,Top News,16,
https://www.lavanguardia.com/,https://www.lavanguardia.com/rss/home.xml,La Vanguardia,Top News,Disabled,,,article,,www.lavanguardia.com,Top News,17,
https://www.xatakamovil.com/,https://www.xatakamovil.com/index.xml,Xataka Móvil,Technology,Disabled,,,article,,www.xatakamovil.com,Technology,18,
https://www.eleconomista.es/,https://www.eleconomista.es/rss/rss-flash-del-mercado.php,el Economista,Business,Enabled,,,article,,eleconomista.es,Top Sources;Business,19,
https://www.adslzone.net/,https://feeds.feedburner.com/adslzone,ADSLZone,Technology,Disabled,,,article,,www.adslzone.net,Technology,20,
https://www.investopedia.com/,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Disabled,,,article,,www.investopedia.com,Business,21,
https://www.bolavip.com/,https://bolavip.com/us/rss/feed,Bolavip,Sports,Disabled,,,article,,bolavip.com,Sports,22,
https://ramenparados.com/,https://ramenparados.com/feed/,Ramen Para Dos,Entertainment,Disabled,,,article,,ramenparados.com,Entertainment,23,
https://www.elperiodico.com/es/,https://www.elperiodico.com/es/rss/rss_portada.xml,El Periódico,Top News,Disabled,,,article,,www.elperiodico.com,Top News,24,
https://www.webmd.com/,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD,Health,Disabled,,,article,,www.webmd.com,Health,25,
https://okdiario.com/,https://okdiario.com/feed,OKdiario,Top News,Disabled,,,article,,okdiario.com,Top News,26,
https://www.makeuseof.com/,https://www.makeuseof.com/feed/,MakeUseOf,Technology,Disabled,,,article,,www.makeuseof.com,Technology,27,
https://www.kiwilimon.com/,https://feeds.feedburner.com/recetas_kiwilimon,kiwilimón,Food,Disabled,,,article,,kiwilimon.com,Food,28,
https://www.eltiempo.com/,https://www.eltiempo.com/rss/mundo.xml,El Tiempo,Top News,Disabled,,,article,,www.eltiempo.com,Top News,29,
https://www.businessinsider.com/,https://feeds.businessinsider.com/custom/all,Business Insider,Business,Disabled,,,article,,www.businessinsider.com;markets.businessinsider.com,Business,30,
https://screenrant.com/,https://screenrant.com/feed/,Screenrant,Entertainment,Disabled,,,article,,screenrant.com,Entertainment,31,
https://www.howtogeek.com/,https://www.howtogeek.com/feed/,HowToGeek,Technology,Disabled,,,article,,www.reviewgeek.com;www.howtogeek.com,Technology,32,
https://www.sportingnews.com/,https://www.sportingnews.com/rss,Sportingnews,Sports,Disabled,,,article,,www.sportingnews.com,Sports,33,
https://gamerant.com/,https://www.gamerant.com/feed/,Game Rant,Gaming,Disabled,,,article,,gamerant.com,Gaming,34,
https://www.techtarget.com/,https://www.techtarget.com/rss,TechTarget,Technology,Disabled,,,article,,www.techtarget.com,Technology,35,
https://www.cine.com/,https://www.cine.com/rss/noticias.xml,Cine,Entertainment,Disabled,,,article,,www.cine.com,Entertainment,36,
https://www.debate.com.mx/,https://www.debate.com.mx/rss/feed.xml,Debate,Top News,Disabled,,,article,,www.debate.com.mx,Top News,37,
https://www.dineroenimagen.com/,https://www.dineroenimagen.com/rss.xml,Dinero en Imagen,Business,Disabled,,,article,,www.dineroenimagen.com,Business,38,
https://los40.com/,https://los40.com/rss/los40/portada.xml,Los40,Entertainment,Disabled,,,article,,los40.com,Entertainment,39,
https://www.techradar.com/,https://www.techradar.com/rss,Techradar,Technology,Disabled,,,article,,www.techradar.com,Technology,40,
https://laverdadnoticias.com/,https://laverdadnoticias.com/rss/feed.xml,La Verdad,Top News,Disabled,,,article,,laverdadnoticias.com,Top News,41,
https://www.muyinteresante.es/,https://www.muyinteresante.com.mx/rss,MuyInteresante,Culture,Disabled,,,article,,muyinteresante.com.mx,Culture,42,
https://www.dondeir.com/,https://www.dondeir.com/rss,Dónde Ir,Travel,Disabled,,,article,,www.dondeir.com,Travel,43,
https://www.france24.com/es/,https://www.france24.com/es/rss,France24 español,World News,Disabled,,,article,,www.france24.com;france24.es,World News,44,
https://decine21.com/,https://decine21.com/magazine?format=feed,Decine21,Entertainment,Disabled,,,article,,decine21.com,Entertainment,45,
https://www.mdpi.com/,https://www.mdpi.com/rss,MDPI,Science,Disabled,,,article,,www.mdpi.com,Science,46,
https://www.sinembargo.mx/,https://www.sinembargo.mx/feed,SinEmbargo,Top News,Disabled,,,article,,sinembargo.mx,Top News,47,
https://www.rollingstone.com/,https://www.rollingstone.com/rss,RollingStone,Entertainment,Disabled,,,article,,www.rollingstone.com,Entertainment,48,
https://www.fichajes.com/,https://www.fichajes.com/canales-rss,Fichajes,Sports,Disabled,,,article,,www.fichajes.com,Sports,49,
https://www.geektopia.es/es/,https://www.geektopia.es/rss.xml,Geektopia,Technology,Disabled,,,article,,www.geektopia.es,Technology,50,
