Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com,https://brave.com/ja/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://jp.cointelegraph.com,https://jp.cointelegraph.com/rss,コインテレグラフ ジャパン,Crypto,Enabled,,,article,,jp.cointelegraph.com,Top Sources; Crypto,1,
https://toyokeizai.net,https://toyokeizai.net/list/feed/rss,東洋経済オンライン,Business,Disabled,,,article,,toyokeizai.net,Top Sources; Business,2,
https://www.itmedia.co.jp/,https://rss.itmedia.co.jp/rss/1.0/plusd.xml,ITmedia,Technology,Disabled,,,article,,www.itmedia.co.jp,Top Sources; Technology,3,
https://news.tbs.co.jp/,https://news.tbs.co.jp/rss/tbs_newsi.rdf,TBS NEWS,Top News,Disabled,,,article,,news.tbs.co.jp,Top Sources; Top News,4,
https://coinpost.jp,https://coinpost.jp/rss.xml,CoinPost,Crypto,Enabled,,,article,,coinpost.jp,Top Sources; Crypto,5,
https://weekly.ascii.jp/,https://weekly.ascii.jp/cate/1/rss.xml,週刊アスキー,Technology,Enabled,,,article,,weekly.ascii.jp,Top Sources; Technology,6,
https://www.newsweekjapan.jp/,https://www.newsweekjapan.jp/story/rss.xml,Newsweek日本版,Top News,Enabled,,,article,,www.newsweekjapan.jp,Top Sources; Top News,7,
https://diamond.jp/category/dol/,https://diamond.jp/list/feed/rss/dol,ダイヤモンド・オンライン,Business,Disabled,,,article,,diamond.jp,Top Sources; Business,8,
https://tabi-labo.com/,https://tabi-labo.com/feed/,TABI LABO,Culture,Disabled,,,article,,tabi-labo.com,Top Sources; Culture,9,
https://www.cyzowoman.com/index.xml,https://www.cyzowoman.com/index.xml,サイゾーウーマン,Entertainment,Disabled,,,article,,www.cyzowoman.com,Top Sources; Entertainment,10,
https://www.nikkei-science.com,https://www.nikkei-science.com/?feed=rss2,日経サイエンス,Science,Disabled,,,article,,www.nikkei-science.com,Top Sources; Science,11,
https://qiita.com/popular-items/,https://qiita.com/popular-items/feed,Qiita,Technology,Disabled,,,article,,qiita.com,Top Sources; Technology,12,
https://retrip.jp/feeds/,https://retrip.jp/feeds/,RETRIP,Travel,Disabled,,,article,,rtrp.jp,Top Sources; Travel,13,
https://tabizine.jp,https://tabizine.jp/feed/,TABIZINE,Travel,Disabled,,,article,,tabizine.jp,Top Sources; Travel,14,
https://president.jp/category/president/,https://president.jp/list/rss?cc=president,PRESIDENT Online,Business,Disabled,,,article,,president.jp,Top Sources; Business,15,
https://www.neweconomy.jp/,https://www.neweconomy.jp/feed,あたらしい経済,Crypto,Enabled,,,article,,www.neweconomy.jp,Top Sources; Crypto,16,
