Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://theguardian.com,https://www.theguardian.com/australia-news/rss,The Guardian Australia,Top News,Enabled,,,article,,theguardian.com,Top Sources; Top News,1,
https://bbc.com,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC World News,Top News,Enabled,,,article,,bbc.com,Top Sources; World News,2,
https://dailymail.co.uk,https://www.dailymail.co.uk/auhome/index.rss,Daily Mail Australia,Top News,Enabled,,,article,,dailymail.co.uk,Top Sources; Top News,3,
https://healthline.com,https://www.healthline.com/rss/health-news,Healthline,Health,Enabled,,,article,,healthline.com,Top Sources; Health,4,
https://nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,Top News,Enabled,,,article,,nytimes.com,Top Sources; World News,5,
https://webmd.com,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD,Health,Enabled,,,article,,webmd.com,Top Sources; Health,6,
https://ign.com,https://www.ign.com/rss/articles/feed?tags=news,IGN Reviews,Gaming,Enabled,,,article,,ign.com,Top Sources; Gaming,7,
https://forbes.com,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,,,article,,forbes.com,Top Sources; Business,8,
https://gamespot.com,https://www.gamespot.com/feeds/news,GameSpot,Gaming,Enabled,,,article,,gamespot.com,Top Sources; Gaming,9,
https://smh.com.au,https://www.smh.com.au/rss/feed.xml,Sydney Morning Herald,Top News,Enabled,,,article,,smh.com.au,Top Sources; Top News,10,
https://9news.com.au,https://www.9news.com.au/rss,9News,Top News,Enabled,,,article,,9news.com.au,Top Sources; Top News,11,
https://news.com.au,https://www.news.com.au/content-feeds/latest-news-national/,news.com.au,Top News,Enabled,,,article,,news.com.au,Top Sources; Top News,12,
https://investopedia.com,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Enabled,,,article,,investopedia.com,Top Sources; Business,13,
https://gamerant.com,https://www.gamerant.com/feed/,Game Rant,Gaming,Enabled,,,article,,gamerant.com,Gaming,14,
https://makeuseof.com,https://www.makeuseof.com/feed/,MakeUseOf,Technology,Enabled,,,article,,makeuseof.com,Top Sources; Technology,15,
https://wikihow.com,https://www.wikihow.com/feed.rss,Wikihow,Home,Enabled,,,article,,wikihow.com,Top Sources; Lifestyle,16,
https://techradar.com,https://www.techradar.com/rss,Techradar,Technology,Enabled,,,article,,techradar.com,Top Sources; Technology,17,
https://screenrant.com,https://www.screenrant.com/feed/,Screen Rant,Entertainment,Enabled,,,article,,screenrant.com,Top Sources; Entertainment,18,
