Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com/,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave; Top Sources,,
https://www.bbc.co.uk/,https://feeds.bbci.co.uk/news/rss.xml?edition=uk,BBC,Top News,Enabled,,,article,,www.bbc.co.uk,Top News; Top Sources,1,
https://www.theguardian.com/,https://www.theguardian.com/uk/rss,The Guardian,Top News,Enabled,,On,article,,www.theguardian.com,Top News; Top Sources,2,
https://www.dailymail.co.uk/home/index.html,https://www.dailymail.co.uk/news/index.rss,Daily Mail,Top News,Enabled,,,article,,www.dailymail.co.uk,Top News; Top Sources,3,https://www.dailymail.co.uk/home/index.rss
https://www.independent.co.uk/,https://www.independent.co.uk/rss,The Independent,Top News,Enabled,,,article,,www.independent.co.uk,Top News; Top Sources,4,https://www.independent.co.uk/rss
https://www.healthline.com/,https://www.healthline.com/rss/health-news,Healthline,Health,Enabled,,,article,,www.healthline.com/,Health; Top Sources,5,
https://www.telegraph.co.uk/,https://www.telegraph.co.uk/rss.xml,The Telegraph,Top News,Enabled,,,article,,www.telegraph.co.uk,Top News; Top Sources,6,https://www.telegraph.co.uk/news/rss.xml
https://www.nytimes.com/,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,The New York Times World News,World News,Enabled,,,article,,www.nytimes.com,World News; Top Sources,7,
https://www.sky.com/,https://feeds.skynews.com/feeds/rss/home.xml,Sky News,Top News,Enabled,,,article,,news.sky.com,Top News; Top Sources,8,https://feeds.skynews.com/feeds/rss/world.xml
https://www.thesun.co.uk/,https://www.thesun.co.uk/feed/,The Sun,Entertainment,Enabled,,,article,,www.thesun.co.uk,Entertainment; Top Sources,9,
https://www.mirror.co.uk/,https://www.mirror.co.uk/rss.xml,The Mirror,Top News,Enabled,,,article,,www.mirror.co.uk,Top News; Top Sources,10,
https://www.express.co.uk/,https://feeds.feedburner.com/daily-express-uk-news,Daily Express,Top News,Enabled,,,article,,www.express.co.uk,Top News,11,
https://www.webmd.com/,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD Health,Health,Enabled,,,article,,www.webmd.com,Health; Top Sources,12,
https://www.techradar.com/,https://www.techradar.com/rss,TechRadar,Technology,Enabled,,,article,,www.techradar.com,Technology; Top Sources,13,
https://www.forbes.com/,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,,,article,,www.forbes.com,Business; Top Sources,14,
https://www.gamespot.com/,https://www.gamespot.com/feeds/news,Gamespot,Gaming,Enabled,,,article,,www.gamespot.com,Gaming; Top Sources,15,
https://www.investopedia.com/,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Enabled,,,article,,www.investopedia.com,Business; Top Sources,16,
https://www.ign.com/,https://feeds.ign.com/ign/reviews,IGN Reviews,Entertainment,Enabled,,,article,,www.ign.com,Entertainment; Top Sources,17,
https://www.bbcgoodfood.com/,https://www.bbcgoodfood.com/feed/atom/,BBC Good Food,Food,Enabled,,,article,,www.bbcgoodfood.com,Food; Top Sources,18,
https://www.pcmag.com/,https://uk.pcmag.com/feed.xml,PCMag UK,Technology,Enabled,,,article,,uk.pcmag.com,Technology; Top Sources,19,
https://www.which.co.uk/,https://www.which.co.uk/news/feed/,Which?,Home,Enabled,,,article,,www.which.co.uk,Home; Top Sources,20,
https://metro.co.uk/,https://metro.co.uk/feed/,Metro,Top News,Enabled,,,article,,metro.co.uk,Top News,21,
https://www.standard.co.uk/,https://www.standard.co.uk/rss,Evening Standard,Top News,Enabled,,,article,,www.standard.co.uk,Top News,22,
https://screenrant.com/,https://screenrant.com/feed/,Screenrant,Entertainment,Enabled,,,article,,screenrant.com,Entertainment; Top Sources,23,
https://www.mayoclinic.org/,https://www.mayoclinic.org/rss/all-health-information-topics,Mayo Clinic,Health,Enabled,,,article,,www.mayoclinic.org,Health; Top Sources,24,
https://www.skysports.com/,https://www.skysports.com/rss/11095,SkySports,Sports,Enabled,,,article,,www.skysports.com,Sports; Top Sources,25,https://www.skysports.com/rss/11095
https://inews.co.uk/,https://www.inews.co.uk/feed,iNews,Top News,Enabled,,,article,,inews.co.uk,Top News,26,
https://www.businessinsider.com/,https://feeds.businessinsider.com/custom/all,Business Insider,Business,Enabled,,,article,,markets.businessinsider.com;www.businessinsider.com,Business; Top Sources,27,https://feeds2.feedburner.com/businessinsider
https://www.pcgamer.com/,https://www.pcgamer.com/rss,PC Gamer,Gaming,Enabled,,,article,,www.pcgamer.com,Gaming; Top Sources,28,
https://www.radiotimes.com/,https://www.radiotimes.com/feed/atom/,Radio Times,Entertainment,Enabled,,,article,,www.radiotimes.com,Entertainment; Top Sources,29,
https://www.wikihow.com/,https://www.wikihow.com/feed.rss,Wikihow,Culture,Enabled,,,article,,www.wikihow.com,Culture; Top Sources,30,
https://www.makeuseof.com/,https://www.makeuseof.com/feed/,MakeUseOf,Technology,Enabled,,,article,,www.makeuseof.com,Technology; Top Sources,31,https://feeds.feedburner.com/Makeuseof
https://gamerant.com/,https://www.gamerant.com/feed/,Gamerant,Gaming,Enabled,,,article,,gamerant.com,Gaming; Top Sources,32,
https://www.howtogeek.com/,https://feeds.howtogeek.com/HowToGeek,How-To Geek,Technology,Enabled,,,article,,www.reviewgeek.com;www.howtogeek.com,Technology; Top Sources,33,
https://www.channel4.com/,https://www.channel4.com/news/rss,Channel4,Top News,Enabled,,,article,,www.channel4.com,Top News,34,
https://www.lifewire.com/,https://www.lifewire.com/feeds/google-news,Lifewire,Technology,Enabled,,,article,,www.lifewire.com,Technology; Top Sources,35,
https://www.ft.com/,https://www.ft.com/rss/home,FT,Top News,Enabled,,,article,,www.ft.com,Top News,36,https://www.ft.com/rss/home/uk
https://www.cnet.com/,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,,,article,,www.cnet.com,Technology; Top Sources,37,
https://www.cnn.com/,http://rss.cnn.com/rss/cnn_latest.rss,CNN World News,Top News,Enabled,,,article,,edition.cnn.com,Top News,38,http://rss.cnn.com/rss/edition_world.rss
https://www.tomsguide.com/,https://www.tomsguide.com/uk/feeds/all,Tom's Guide UK,Technology,Enabled,,,article,,www.tomsguide.com,Technology; Top Sources,39,
https://www.thegamer.com/,https://www.thegamer.com/feed,The Gamer,Gaming,Enabled,,,article,,www.thegamer.com,Gaming; Top Sources,40,
https://www.manchestereveningnews.co.uk/,https://www.manchestereveningnews.co.uk/news/?service=rss,Manchester Evening News,Top News,Enabled,,,article,,www.manchestereveningnews.co.uk,Top News,41,
https://www.theverge.com/,https://www.theverge.com/rss/index.xml,The Verge,Technology,Enabled,,,article,,www.theverge.com,Technology; Top Sources,42,https://www.theverge.com/rss/full.xml
https://www.gamesradar.com/,https://www.gamesradar.com/rss.xml,Games Radar,Gaming,Enabled,,,article,,www.gamesradar.com,Gaming; Top Sources,43,
https://www.cnbc.com/,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100727362,CNBC,Business,Enabled,,,article,,www.cnbc.com,Business,44,
https://www.digitalspy.com/,https://www.digitalspy.com/rss/all,Digital Spy,Entertainment,Enabled,,,article,,www.digitalspy.com,Entertainment; Top Sources,45,
https://www.eurogamer.net/,https://www.eurogamer.net/feed,Eurogamer,Gaming,Enabled,,,article,,www.eurogamer.net,Gaming,46,
https://www.digitaltrends.com/,https://www.digitaltrends.com/feed/,Digital Trends,Technology,Enabled,,,article,,www.digitaltrends.com,Technology,47,
https://www.nature.com/,https://feeds.nature.com/nature/rss/current,Nature,Science,Disabled,,,article,,www.nature.com,Science; Top Sources,48,
https://www.frontiersin.org/,https://blog.frontiersin.org/feed/,Frontiers,Science,Enabled,,,article,,blog.frontiersin.org,Science; Top Sources,49,
https://www.polygon.com/,https://www.polygon.com/rss/index.xml,Polygon,Gaming,Enabled,,,article,,www.polygon.com,Gaming,50,
https://www.timeout.com/,https://www.timeout.com/feed.rss,Timeout,Entertainment,Disabled,,,article,,www.timeout.com,Entertainment; Top Sources,51,
https://www.tomshardware.com/,https://www.tomshardware.com/feeds/all,Tom's Hardware,Technology,Disabled,,,article,,www.tomshardware.com,Technology,52,
https://www.goodhousekeeping.com/,https://www.goodhousekeeping.com/rss/all,Good Housekeeping,Home,Disabled,,,article,,www.goodhousekeeping.com,Home; Top Sources,53,
https://www.metacritic.com/,https://www.metacritic.com/rss/features,Metacritic,Entertainment,Disabled,,,article,,www.metacritic.com,Entertainment; Top Sources,54,
https://www.nme.com/,https://www.nme.com/feed,NME,Entertainment,Disabled,,,article,,www.nme.com,Entertainment,55,
https://www.nasa.gov/,https://www.nasa.gov/rss/dyn/lg_image_of_the_day.rss,NASA Image of the Day,Science,Disabled,,,article,,www.nasa.gov,Science; Top Sources,56,
https://www.expertreviews.co.uk/,https://www.expertreviews.co.uk/rss.xml,Expert Reviews,Home,Disabled,,,article,,www.expertreviews.co.uk,Home; Top Sources,57,
https://www.theatlantic.com/,https://www.theatlantic.com/feed/all/,The Atlantic,Culture,Disabled,,,article,,www.theatlantic.com,Culture; Top Sources,58,https://feeds.feedburner.com/TheAtlantic
https://www.espn.co.uk/,https://www.espn.co.uk/rss,ESPN UK,Sports,Disabled,,,article,,www.espn.co.uk,Sports; Top Sources,59,
https://www.techadvisor.com/,https://www.techadvisor.com/feed,Tech Advisor,Technology,Disabled,,,article,,www.techadvisor.com,Technology,60,
https://www.aljazeera.com/,https://www.aljazeera.com/xml/rss/all.xml,Al Jazeera,World News,Disabled,,,article,,www.aljazeera.com,World News; Top Sources,61,
https://www.rollingstone.com/,https://www.rollingstone.com/feed/,Rolling Stone,Entertainment,Disabled,,,article,,www.rollingstone.com,Entertainment,62,https://www.rollingstone.com/music/feed/
https://www.sportskeeda.com/,https://www.sportskeeda.com/feed,Sportskeeda,Sports,Disabled,,,article,,www.sportskeeda.com,Sports; Top Sources,63,
https://www.dailyrecord.co.uk/,https://www.dailyrecord.co.uk/rss.xml,Daily Record,Top News,Disabled,,,article,,www.dailyrecord.co.uk,Top News,64,
https://www.rogerebert.com/,https://www.rogerebert.com/feed,Roger Ebert,Entertainment,Disabled,,,article,,www.rogerebert.com,Entertainment,65,
https://www.nationalworld.com/,https://www.nationalworld.com/rss,National World,Top News,Disabled,,,article,,www.nationalworld.com,Top News,66,
https://www.techtarget.com/,https://www.techtarget.com/rss,TechTarget,Technology,Disabled,,,article,,www.techtarget.com,Technology,67,
https://www.bmj.com/,https://feeds.bmj.com/bmj/recent,BMJ,Health,Disabled,,,article,,www.bmj.com,Health,68,
https://www.marketwatch.com/,https://www.marketwatch.com/rss/topstories,MarketWatch,Business,Disabled,,,article,,www.marketwatch.com,Business,69,
https://www.verywellhealth.com/,https://www.verywellhealth.com/feeds/google-news,Very Well Health,Health,Disabled,,,article,,www.verywellhealth.com,Health,70,
https://www.liverpoolecho.co.uk/,https://www.liverpoolecho.co.uk/?service=rss,Liverpool Echo,Top News,Disabled,,,article,,www.liverpoolecho.co.uk,Top News,71,
https://www.scotsman.com/,https://www.scotsman.com/rss,The Scotsman,Top News,Disabled,,,article,,www.scotsman.com,Top News,72,
https://www.pcgamesn.com/,https://www.pcgamesn.com/mainrss.xml,PC GamesN,Gaming,Disabled,,,article,,www.pcgamesn.com,Gaming,73,
https://www.hitc.com/,https://www.hitc.com/feed/,HITC,Entertainment,Disabled,,,article,,www.hitc.com,Entertainment,74,
https://www.windowscentral.com/,https://www.windowscentral.com/rss.xml,Windows Central,Technology,Disabled,,,article,,www.windowscentral.com,Technology,75,https://feeds.feedburner.com/wmexperts
https://variety.com/,https://variety.com/feed/,Variety,Entertainment,Disabled,,,article,,variety.com,Entertainment,76,https://feeds.feedburner.com/variety/headlines
https://www.whathifi.com/,https://www.whathifi.com/feeds/all,What Hi-Fi?,Technology,Disabled,,,article,,www.whathifi.com,Technology,77,
https://www.gardenersworld.com/,https://www.gardenersworld.com/feed/atom/,Gardeners World,Home,Disabled,,,article,,www.gardenersworld.com,Home,78,
https://www.hellomagazine.com/,https://www.hellomagazine.com/rss.xml,Hello Magazine,Entertainment,Disabled,,,article,,www.hellomagazine.com,Entertainment,79,
https://www.gsmarena.com/,https://www.gsmarena.com/rss-news-reviews.php3,GSMArena,Technology,Disabled,,,article,,www.gsmarena.com,Technology,80,
https://www.denofgeek.com/,https://www.denofgeek.com/feed/,Den of Geek,Gaming,Disabled,,,article,,www.denofgeek.com,Gaming,81,
https://www.dexerto.com/,https://www.dexerto.com/feed,Dexerto,Gaming,Disabled,,,article,,www.dexerto.com,Gaming,82,
https://www.rockpapershotgun.com/,https://www.rockpapershotgun.com/feed,Rock Paper Shotgun,Gaming,Disabled,,,article,,www.rockpapershotgun.com,Gaming,83,
https://knowyourmeme.com/,https://knowyourmeme.com/news.rss,KnowYourMeme,Fun,Disabled,,,article,,knowyourmeme.com,Fun; Top Sources,84,
https://www.thespruceeats.com/,https://www.thespruceeats.com/feeds/google-news,The Spruce Eats,Food,Disabled,,,article,,www.thespruceeats.com,Food; Top Sources,85,
https://theconversation.com/,https://www.theconversation.com/uk/home-page/news.atom,The Conversation UK,Culture,Disabled,,,article,,theconversation.com,Culture; Top Sources,86,
https://www.cosmopolitan.com/,https://www.cosmopolitan.com/rss,Cosmopolitan,Fashion,Disabled,,,article,,www.cosmopolitan.com,Fashion; Top Sources,87,
https://www.chron.com/,https://www.chron.com/rss/feed/News-270.php,Chron,Top News,Disabled,,,article,,www.chron.com,Top News,88,
https://www.verywellmind.com/,https://www.verywellmind.com/feeds/google-news,Very Well Mind,Health,Disabled,,,article,,www.verywellmind.com,Health,89,
https://dotesports.com/,https://dotesports.com/feed,Dot Esports,Gaming,Disabled,,,article,,dotesports.com,Gaming,90,
https://www.wired.co.uk/,https://www.wired.co.uk/feed/rss,Wired UK,Technology,Disabled,,,article,,www.wired.co.uk,Technology,91,
https://www.cbr.com/,https://www.cbr.com/feed/,CBR,Entertainment,Disabled,,,article,,www.cbr.com,Entertainment,92,
https://www.washingtonpost.com/,https://feeds.washingtonpost.com/rss/world,Washington Post World News,Top News,Disabled,,,article,,www.washingtonpost.com,Top News,93,
https://www.theregister.com/,https://www.theregister.com/headlines.atom,Theregister,Technology,Disabled,,,article,,www.theregister.com,Technology,94,
https://windowsreport.com/,https://feeds.feedburner.com/WindowsReport2,Windows Report,Technology,Disabled,,,article,,windowsreport.com,Technology,95,
https://www.macrumors.com/,https://feeds.macrumors.com/MacRumors-Front,MacRumors,Technology,Disabled,,,article,,www.macrumors.com,Technology,96,
https://www.androidauthority.com/,https://www.androidauthority.com/feed,Android Authority,Technology,Disabled,,,article,,www.androidauthority.com,Technology,97,
https://www.lonelyplanet.com/,https://www.lonelyplanet.com/articles/news/feed,Lonely Planet,Travel,Disabled,,,article,,www.lonelyplanet.com,Travel; Top Sources,98,
https://www.techspot.com/,https://www.techspot.com/backend.xml,Techspot,Technology,Disabled,,,article,,www.techspot.com,Technology,99,
