Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://geeksforgeeks.org,https://www.geeksforgeeks.org/feed/,GeeksforGeeks,Technology,Enabled,,,article,,geeksforgeeks.org,Top Sources; Technology,1,
https://hindustantimes.com,https://www.hindustantimes.com/feeds/rss/latest/rssfeed.xml,Hindustan Times,Top News,Enabled,,,article,,hindustantimes.com,Top Sources; Top News,2,
https://moneycontrol.com,https://moneycontrol.com/rss,Moneycontrol,Business,Enabled,,,article,,moneycontrol.com,Top Sources; Business,3,
https://gadgets360.com,https://feeds.feedburner.com/gadgets360-latest,Gadgets 360,Technology,Enabled,,,article,,gadgets360.com,Top Sources; Technology,4,
https://investopedia.com,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Enabled,,,article,,investopedia.com,Top Sources; Business,5,
https://ndtv.com,https://feeds.feedburner.com/NDTV-LatestNews,NDTV,Top News,Enabled,,,article,,ndtv.com,Top Sources; Top News,6,
https://news18.com,https://www.news18.com/rss/world.xml,News18,Top News,Enabled,,,article,,news18.com,Top Sources; Top News,7,
https://forbes.com,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,,,article,,forbes.com,Top Sources; Business,8,
https://india.com,https://india.com/rss,India.com,Top News,Enabled,,,article,,india.com,Top Sources; Top News,9,
https://makeuseof.com,https://makeuseof.com/feed/,MakeUseOf,Technology,Enabled,,,article,,makeuseof.com,Top Sources; Technology,10,
https://techtarget.com,https://www.techtarget.com/rss,TechTarget,Technology,Enabled,,,article,,techtarget.com,Top Sources; Technology,11,
https://webmd.com,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD,Health,Enabled,,,article,,webmd.com,Top Sources; Health,12,
https://bbc.com,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC World News,World News,Enabled,,,article,,bbc.com,Top Sources; World News,13,
https://gsmarena.com,https://www.gsmarena.com/rss-news-reviews.php3,GSMArena,Technology,Enabled,,,article,,gsmarena.com,Top Sources; Technology,14,
https://theguardian.com,https://www.theguardian.com/international/rss,The Guardian World News,World News,Enabled,,,article,,theguardian.com,Top Sources; World News,15,
https://digitaltrends.com,https://www.digitaltrends.com/feed/,Digital Trends,Technology,Enabled,,,article,,digitaltrends.com,Top Sources; Technology,16,
https://cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,,,article,,cnet.com,Technology,17,
https://businessinsider.com,https://feeds.businessinsider.com/custom/all,Business Insider,Business,Enabled,,,article,,businessinsider.com,Business,18,
https://nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,World News,Enabled,,,article,,nytimes.com,World News,19,
https://filmibeat.com,https://filmibeat.com/rss/,Filmibeat,Entertainment,Enabled,,,article,,filmibeat.com,Top Sources; Entertainment,20,
https://goodreturns.in,https://goodreturns.in/rss/,Goodreturns,Business,Enabled,,,article,,goodreturns.in,Business,21,
