Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://infobae.com,https://www.infobae.com/feeds/rss/,Infobae,Top News,Enabled,,,article,,,Top Sources; Top News,1,
https://lanacion.com.ar,https://www.lanacion.com.ar/arc/outboundfeeds/rss/?outputType=xml,La Nación,Top News,Enabled,,,article,,,Top Sources; Top News,2,
https://clarin.com,https://www.clarin.com/rss/lo-ultimo/,Clarín,Top News,Enabled,,,article,,,Top Sources; Top News,3,
https://xataka.com,https://feeds.weblogssl.com/xataka2,Xataka,Technology,Enabled,,,article,,,Top Sources; Technology,4,
https://elpais.com,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/espana/portada,El País,Top News,Enabled,,,article,,,Top Sources; Top News,5,
https://cronista.com,https://www.cronista.com/files/rss/news.xml,El Cronista,Business,Enabled,,,article,,,Top Sources; Business,6,
https://sensacine.com,https://www.sensacine.com/rss/noticias.xml,SensaCine,Entertainment,Enabled,,,article,,,Top Sources; Entertainment,7,
https://as.com,https://as.com/rss/diarioas/portada.xml,AS,Sports,Enabled,,,article,,,Top Sources; Sports,8,
https://ambito.com,https://www.ambito.com/contenidos/rss.html,Ámbito Financiero,Business,Enabled,,,article,,,Top Sources; Business,9,
https://pagina12.com.ar,https://www.pagina12.com.ar/pagina/rss,Página/12,Top News,Enabled,,,article,,,Top Sources; Top News,10,
https://lavoz.com.ar,https://www.lavoz.com.ar/arc/outboundfeeds/feeds/rss/?outputType=xml,La Voz,Top News,Enabled,,,article,,,Top Sources; Top News,11,
https://bbc.com,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC World News,Top News,Enabled,,,article,,,Top Sources; World News,12,
https://elespanol.com,https://www.elespanol.com/rss/,El Español,Top News,Enabled,,,article,,,Top Sources; Top News,13,
https://ole.com.ar,https://www.ole.com.ar/rss/ultimas-noticias/,Olé,Sports,Enabled,,,article,,,Top Sources; Sports,14,
https://elmundo.es,https://rss.elmundo.es/rss/descarga.htm?data2=9,El Mundo,Top News,Enabled,,,article,,,Top Sources; Top News,15,
